Tijd (s),Spanning (V)
-5.000000000000002e-05,-0.018
-4.9e-05,0.0
-4.7999999999999974e-05,0.0
-4.700000000000006e-05,-0.006
-4.6000000000000034e-05,0.004
-4.500000000000001e-05,-0.004
-4.3999999999999985e-05,-0.01
-4.300000000000007e-05,0.0
-4.2000000000000045e-05,-0.004
-4.100000000000002e-05,0.01
-3.9999999999999996e-05,0.004
-3.899999999999997e-05,-0.004
-3.8000000000000056e-05,-0.002
-3.700000000000003e-05,0.008
-3.600000000000001e-05,0.004
-3.499999999999998e-05,0.014
-3.400000000000007e-05,0.012
-3.300000000000004e-05,-0.002
-3.200000000000002e-05,0.0
-3.0999999999999995e-05,-0.012
-2.999999999999997e-05,-0.006
-2.9000000000000054e-05,0.002
-2.800000000000003e-05,0.0
-2.7000000000000006e-05,-0.006
-2.599999999999998e-05,0.002
-2.5000000000000066e-05,-0.008
-2.400000000000004e-05,-0.006
-2.3000000000000017e-05,-0.014
-2.1999999999999993e-05,-0.014
-2.1000000000000077e-05,-0.008
-2.0000000000000052e-05,-0.012
-1.9000000000000028e-05,0.0
-1.8000000000000004e-05,-0.002
-1.699999999999998e-05,-0.008
-1.6000000000000064e-05,-0.008
-1.500000000000004e-05,0.006
-1.4000000000000015e-05,0.004
-1.299999999999999e-05,-0.002
-1.2000000000000075e-05,0.002
-1.100000000000005e-05,-0.008
-1.0000000000000026e-05,0.008
-9.000000000000002e-06,-0.002
-7.999999999999978e-06,-0.002
-7.000000000000062e-06,0.008
-6.000000000000037e-06,0.004
-5.000000000000013e-06,0.014
-3.999999999999989e-06,0.006
-3.000000000000073e-06,0.016
-2.0000000000000486e-06,0.01
-1.0000000000000243e-06,-0.028
0.0,-0.028
1.0000000000000243e-06,-0.064
1.99999999999994e-06,-0.062
2.9999999999999645e-06,-0.09
3.999999999999989e-06,-0.088
5.000000000000013e-06,-0.116
5.999999999999929e-06,-0.114
6.999999999999953e-06,-0.126
7.999999999999978e-06,-0.114
9.000000000000002e-06,-0.128
1.0000000000000026e-05,-0.128
1.0999999999999942e-05,-0.12
1.1999999999999966e-05,-0.128
1.299999999999999e-05,-0.114
1.4000000000000015e-05,-0.11
1.4999999999999931e-05,-0.118
1.5999999999999955e-05,-0.116
1.699999999999998e-05,-0.104
1.8000000000000004e-05,-0.108
1.9000000000000028e-05,-0.1
1.9999999999999944e-05,-0.106
2.099999999999997e-05,-0.082
2.1999999999999993e-05,-0.084
2.3000000000000017e-05,-0.076
2.3999999999999933e-05,-0.074
2.4999999999999957e-05,-0.084
2.599999999999998e-05,-0.08
2.7000000000000006e-05,-0.072
2.799999999999992e-05,-0.08
2.8999999999999946e-05,-0.066
2.999999999999997e-05,-0.07
3.0999999999999995e-05,-0.064
3.200000000000002e-05,-0.066
3.2999999999999935e-05,-0.052
3.399999999999996e-05,-0.054
3.499999999999998e-05,-0.062
3.600000000000001e-05,-0.062
3.6999999999999924e-05,-0.048
3.799999999999995e-05,-0.052
3.899999999999997e-05,-0.044
3.9999999999999996e-05,-0.048
4.100000000000002e-05,-0.024
4.199999999999994e-05,-0.026
4.299999999999996e-05,-0.018
4.3999999999999985e-05,-0.028
4.500000000000001e-05,-0.02
4.5999999999999925e-05,-0.02
4.699999999999995e-05,-0.028
4.7999999999999974e-05,-0.022
4.9e-05,-0.006
5.000000000000002e-05,-0.004
5.099999999999994e-05,-0.01
5.199999999999996e-05,-0.006
5.299999999999999e-05,-0.016
5.400000000000001e-05,-0.014
5.499999999999993e-05,-0.002
5.599999999999995e-05,-0.008
5.6999999999999976e-05,0.004
5.8e-05,0.0
5.9000000000000025e-05,0.008
5.999999999999994e-05,0.002
6.0999999999999965e-05,0.012
6.199999999999999e-05,0.008
6.300000000000001e-05,0.016
6.399999999999993e-05,0.008
6.499999999999995e-05,0.018
6.599999999999998e-05,0.016
6.7e-05,0.03
6.800000000000003e-05,0.028
6.899999999999994e-05,0.02
6.999999999999997e-05,0.018
7.099999999999999e-05,0.028
7.200000000000002e-05,0.026
7.299999999999993e-05,0.036
7.399999999999996e-05,0.034
7.499999999999998e-05,0.026
7.6e-05,0.028
7.699999999999992e-05,0.036
7.799999999999994e-05,0.036
7.899999999999997e-05,0.022
7.999999999999999e-05,0.022
8.100000000000002e-05,0.032
8.199999999999993e-05,0.03
8.299999999999996e-05,0.042
8.399999999999998e-05,0.042
8.5e-05,0.028
8.599999999999992e-05,0.032
8.699999999999995e-05,0.022
8.799999999999997e-05,0.02
8.9e-05,0.034
9.000000000000002e-05,0.03
9.099999999999994e-05,0.038
9.199999999999996e-05,0.034
9.299999999999998e-05,0.04
9.400000000000001e-05,0.036
9.499999999999992e-05,0.046
9.599999999999995e-05,0.046
9.699999999999997e-05,0.036
9.8e-05,0.034
9.900000000000002e-05,0.04
9.999999999999994e-05,0.034
0.00010099999999999996,0.05
0.00010199999999999999,0.044
0.00010300000000000001,0.052
0.00010399999999999993,0.05
0.00010499999999999995,0.044
0.00010599999999999997,0.046
0.000107,0.052
0.00010800000000000002,0.052
0.00010899999999999994,0.044
0.00010999999999999996,0.048
0.00011099999999999999,0.034
0.00011200000000000001,0.036
0.00011299999999999993,0.042
0.00011399999999999995,0.038
0.00011499999999999998,0.026
0.000116,0.028
0.00011699999999999992,0.038
0.00011799999999999994,0.034
0.00011899999999999997,0.04
0.00011999999999999999,0.034
0.00012100000000000001,0.042
0.00012199999999999993,0.038
0.00012299999999999995,0.048
0.00012399999999999998,0.048
0.000125,0.038
0.00012599999999999992,0.044
0.00012699999999999994,0.034
0.00012799999999999997,0.036
0.000129,0.042
0.00013000000000000002,0.042
0.00013099999999999993,0.034
0.00013199999999999996,0.03
0.00013299999999999998,0.04
0.000134,0.04
0.00013499999999999992,0.032
0.00013599999999999994,0.034
0.00013699999999999997,0.042
0.000138,0.036
0.00013900000000000002,0.048
0.00013999999999999993,0.05
0.00014099999999999996,0.036
0.00014199999999999998,0.042
0.000143,0.034
0.00014399999999999992,0.034
0.00014499999999999995,0.052
0.00014599999999999997,0.054
0.000147,0.042
0.00014800000000000002,0.046
0.00014899999999999994,0.034
0.00014999999999999996,0.036
0.00015099999999999998,0.046
0.000152,0.046
0.00015299999999999992,0.036
0.00015399999999999995,0.038
0.00015499999999999997,0.026
0.000156,0.026
0.00015700000000000002,0.034
0.00015799999999999994,0.032
0.00015899999999999996,0.046
